ccode,number
E14000530,4
E14000531,5
E14000532,6
E14000533,4
E14000534,5
E14000535,6
E14000536,5
E14000537,5
E14000538,4
E14000539,4
E14000540,5
E14000541,7
E14000542,5
E14000543,5
E14000544,5
E14000545,5
E14000546,4
E14000547,5
E14000548,6
E14000549,5
E14000550,5
E14000551,4
E14000552,5
E14000553,4
E14000554,4
E14000555,6
E14000556,5
E14000557,4
E14000558,5
E14000559,6
E14000560,5
E14000561,5
E14000562,6
E14000563,6
E14000564,5
E14000565,6
E14000566,6
E14000567,5
E14000568,5
E14000569,4
E14000570,6
E14000571,5
E14000572,5
E14000573,6
E14000574,8
E14000575,5
E14000576,6
E14000577,7
E14000578,5
E14000579,5
E14000580,4
E14000581,5
E14000582,4
E14000583,4
E14000584,6
E14000585,4
E14000586,5
E14000587,5
E14000588,5
E14000589,6
E14000590,6
E14000591,4
E14000592,7
E14000593,5
E14000594,5
E14000595,5
E14000596,4
E14000597,5
E14000598,7
E14000599,5
E14000600,4
E14000601,5
E14000602,4
E14000603,5
E14000604,6
E14000605,4
E14000606,4
E14000607,7
E14000608,6
E14000609,7
E14000610,4
E14000611,5
E14000612,8
E14000613,4
E14000614,4
E14000615,6
E14000616,5
E14000617,8
E14000618,3
E14000619,4
E14000620,4
E14000621,6
E14000622,3
E14000623,4
E14000624,4
E14000625,4
E14000626,5
E14000627,3
E14000628,4
E14000629,4
E14000630,4
E14000631,4
E14000632,6
E14000633,6
E14000634,3
E14000635,3
E14000636,5
E14000637,3
E14000638,4
E14000639,6
E14000640,5
E14000641,5
E14000642,7
E14000643,4
E14000644,4
E14000645,8
E14000646,5
E14000647,4
E14000648,3
E14000649,5
E14000650,5
E14000651,6
E14000652,4
E14000653,6
E14000654,5
E14000655,6
E14000656,5
E14000657,7
E14000658,6
E14000659,4
E14000660,4
E14000661,6
E14000662,6
E14000663,4
E14000664,4
E14000665,4
E14000666,6
E14000667,6
E14000668,6
E14000669,9
E14000670,6
E14000671,4
E14000672,4
E14000673,6
E14000674,5
E14000675,4
E14000676,7
E14000677,5
E14000678,6
E14000679,6
E14000680,6
E14000681,6
E14000682,5
E14000683,5
E14000684,5
E14000685,4
E14000686,5
E14000687,6
E14000688,5
E14000689,5
E14000690,5
E14000691,5
E14000692,5
E14000693,6
E14000694,5
E14000695,7
E14000696,6
E14000697,6
E14000698,6
E14000699,4
E14000700,5
E14000701,5
E14000702,5
E14000703,3
E14000704,8
E14000705,4
E14000706,5
E14000707,4
E14000708,6
E14000709,4
E14000710,5
E14000711,7
E14000712,4
E14000713,4
E14000714,4
E14000715,4
E14000716,6
E14000717,7
E14000718,7
E14000719,5
E14000720,7
E14000721,6
E14000722,7
E14000723,5
E14000724,5
E14000725,5
E14000726,5
E14000727,5
E14000728,5
E14000729,3
E14000730,4
E14000731,3
E14000732,5
E14000733,6
E14000734,6
E14000735,4
E14000736,5
E14000737,6
E14000738,3
E14000739,4
E14000740,8
E14000741,4
E14000742,4
E14000743,4
E14000744,6
E14000745,4
E14000746,4
E14000747,5
E14000748,5
E14000749,5
E14000750,7
E14000751,5
E14000752,7
E14000753,5
E14000754,6
E14000755,7
E14000756,5
E14000757,6
E14000758,5
E14000759,6
E14000760,6
E14000761,5
E14000762,6
E14000763,6
E14000764,6
E14000765,8
E14000766,6
E14000767,5
E14000768,8
E14000769,5
E14000770,8
E14000771,5
E14000772,5
E14000773,5
E14000774,5
E14000775,6
E14000776,5
E14000777,6
E14000778,5
E14000779,6
E14000780,5
E14000781,8
E14000782,6
E14000783,5
E14000784,5
E14000785,6
E14000786,5
E14000787,9
E14000788,6
E14000789,7
E14000790,6
E14000791,5
E14000792,7
E14000793,5
E14000794,5
E14000795,6
E14000796,6
E14000797,5
E14000798,4
E14000799,4
E14000800,7
E14000801,7
E14000802,4
E14000803,4
E14000804,5
E14000805,5
E14000806,4
E14000807,6
E14000808,5
E14000809,5
E14000810,5
E14000811,4
E14000812,4
E14000813,6
E14000814,4
E14000815,4
E14000816,4
E14000817,6
E14000818,5
E14000819,6
E14000820,4
E14000821,4
E14000822,6
E14000823,6
E14000824,6
E14000825,5
E14000826,5
E14000827,5
E14000828,4
E14000829,4
E14000830,5
E14000831,5
E14000832,4
E14000833,5
E14000834,5
E14000835,5
E14000836,5
E14000837,4
E14000838,5
E14000839,4
E14000840,6
E14000841,5
E14000842,4
E14000843,4
E14000844,6
E14000845,4
E14000846,5
E14000847,4
E14000848,4
E14000849,5
E14000850,4
E14000851,4
E14000852,4
E14000853,5
E14000854,4
E14000855,4
E14000856,7
E14000857,4
E14000858,6
E14000859,4
E14000860,4
E14000861,4
E14000862,4
E14000863,5
E14000864,5
E14000865,6
E14000866,5
E14000867,5
E14000868,4
E14000869,5
E14000870,7
E14000871,7
E14000872,4
E14000873,8
E14000874,4
E14000875,5
E14000876,4
E14000877,5
E14000878,8
E14000879,4
E14000880,5
E14000881,5
E14000882,6
E14000883,5
E14000884,5
E14000885,5
E14000886,5
E14000887,4
E14000888,4
E14000889,6
E14000890,4
E14000891,6
E14000892,4
E14000893,5
E14000894,5
E14000895,6
E14000896,5
E14000897,5
E14000898,6
E14000899,5
E14000900,4
E14000901,4
E14000902,4
E14000903,6
E14000904,5
E14000905,4
E14000906,7
E14000907,7
E14000908,5
E14000909,6
E14000910,4
E14000911,5
E14000912,5
E14000913,4
E14000914,5
E14000915,6
E14000916,7
E14000917,5
E14000918,6
E14000919,8
E14000920,5
E14000921,6
E14000922,7
E14000923,5
E14000924,5
E14000925,5
E14000926,5
E14000927,7
E14000928,5
E14000929,6
E14000930,5
E14000931,4
E14000932,4
E14000933,4
E14000934,3
E14000935,4
E14000936,5
E14000937,4
E14000938,5
E14000939,5
E14000940,4
E14000941,4
E14000942,6
E14000943,4
E14000944,6
E14000945,4
E14000946,4
E14000947,3
E14000948,4
E14000949,4
E14000950,4
E14000951,5
E14000952,5
E14000953,3
E14000954,4
E14000955,5
E14000956,6
E14000957,4
E14000958,3
E14000959,4
E14000960,5
E14000961,6
E14000962,5
E14000963,5
E14000964,6
E14000965,4
E14000966,4
E14000967,6
E14000968,4
E14000969,5
E14000970,5
E14000971,4
E14000972,5
E14000973,6
E14000974,3
E14000975,4
E14000976,5
E14000977,4
E14000978,5
E14000979,5
E14000980,5
E14000981,5
E14000982,6
E14000983,5
E14000984,4
E14000985,4
E14000986,6
E14000987,4
E14000988,4
E14000989,3
E14000990,4
E14000991,4
E14000992,4
E14000993,8
E14000994,3
E14000995,5
E14000996,5
E14000997,4
E14000998,6
E14000999,5
E14001000,5
E14001001,4
E14001002,8
E14001003,5
E14001004,5
E14001005,4
E14001006,5
E14001007,12
E14001008,6
E14001009,6
E14001010,5
E14001011,4
E14001012,6
E14001013,6
E14001014,6
E14001015,4
E14001016,5
E14001017,5
E14001018,5
E14001019,7
E14001020,6
E14001021,4
E14001022,5
E14001023,4
E14001024,5
E14001025,4
E14001026,5
E14001027,4
E14001028,6
E14001029,7
E14001030,5
E14001031,4
E14001032,7
E14001033,5
E14001034,4
E14001035,4
E14001036,6
E14001037,4
E14001038,4
E14001039,5
E14001040,4
E14001041,4
E14001042,6
E14001043,5
E14001044,5
E14001045,4
E14001046,3
E14001047,5
E14001048,5
E14001049,5
E14001050,5
E14001051,4
E14001052,5
E14001053,7
E14001054,5
E14001055,5
E14001056,7
E14001057,5
E14001058,4
E14001059,6
E14001060,6
E14001061,7
E14001062,4
N06000001,3
N06000002,3
N06000003,5
N06000004,6
N06000005,7
N06000006,6
N06000007,5
N06000008,7
N06000009,7
N06000010,6
N06000011,6
N06000012,6
N06000013,4
N06000014,5
N06000015,6
N06000016,8
N06000017,5
N06000018,7
S14000001,6
S14000002,4
S14000003,5
S14000004,4
S14000005,4
S14000006,4
S14000007,4
S14000008,4
S14000009,5
S14000010,4
S14000011,5
S14000012,4
S14000013,4
S14000014,4
S14000015,5
S14000016,6
S14000017,5
S14000018,8
S14000019,6
S14000020,5
S14000021,4
S14000022,5
S14000023,7
S14000024,5
S14000025,7
S14000026,5
S14000027,4
S14000028,5
S14000029,5
S14000030,4
S14000031,6
S14000032,4
S14000033,4
S14000034,6
S14000035,5
S14000036,5
S14000037,4
S14000038,4
S14000039,6
S14000040,5
S14000041,6
S14000042,4
S14000043,7
S14000044,5
S14000045,4
S14000046,5
S14000047,5
S14000048,5
S14000049,4
S14000050,5
S14000051,6
S14000052,4
S14000053,4
S14000054,5
S14000055,7
S14000056,5
S14000057,5
S14000058,4
S14000059,6
W07000041,4
W07000042,5
W07000043,5
W07000044,6
W07000045,4
W07000046,5
W07000047,5
W07000048,6
W07000049,7
W07000050,7
W07000051,7
W07000052,6
W07000053,6
W07000054,6
W07000055,6
W07000056,6
W07000057,4
W07000058,4
W07000059,4
W07000060,5
W07000061,4
W07000062,5
W07000063,4
W07000064,6
W07000065,4
W07000066,4
W07000067,4
W07000068,5
W07000069,8
W07000070,7
W07000071,6
W07000072,6
W07000073,6
W07000074,6
W07000075,7
W07000076,4
W07000077,6
W07000078,4
W07000079,6
W07000080,6
